,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,105/01/04,"5,433,622","1,343,002,807",251.00,252.00,245.00,245.00,-5.00,"3,637"
1,105/01/05,"4,992,995","1,219,940,780",245.00,247.00,242.00,242.50,-2.50,"3,444"
2,105/01/06,"18,471,361","4,200,025,030",242.00,242.50,220.00,227.00,-15.50,"11,874"
3,105/01/07,"21,538,233","4,610,941,067",225.50,226.00,205.00,206.00,-21.00,"14,136"
4,105/01/08,"15,267,260","3,225,534,400",202.00,217.00,202.00,213.50,+7.50,"10,104"
5,105/01/11,"10,917,308","2,252,142,680",209.00,210.50,203.50,209.00,-4.50,"7,129"
6,105/01/12,"9,110,929","1,891,153,232",210.00,211.50,203.00,206.50,-2.50,"6,354"
7,105/01/13,"10,219,356","2,115,555,904",210.00,210.50,204.00,206.50, 0.00,"6,579"
8,105/01/14,"14,232,965","2,856,865,650",201.50,208.00,195.50,208.00,+1.50,"8,463"
9,105/01/15,"10,866,894","2,232,307,164",210.00,212.00,200.50,205.00,-3.00,"6,615"
10,105/01/18,"7,493,293","1,550,621,823",201.00,211.50,200.00,210.00,+5.00,"5,468"
11,105/01/19,"10,318,781","2,248,842,064",210.00,221.50,209.00,216.50,+6.50,"6,871"
12,105/01/20,"7,062,199","1,493,019,989",215.50,215.50,210.00,210.00,-6.50,"4,869"
13,105/01/21,"5,104,788","1,077,702,768",213.00,214.00,209.50,210.00, 0.00,"3,183"
14,105/01/22,"4,309,834","919,306,642",213.50,215.50,211.50,212.00,+2.00,"3,016"
15,105/01/25,"3,730,305","803,536,575",216.00,217.00,214.00,214.50,+2.50,"2,766"
16,105/01/26,"5,491,206","1,150,832,760",211.00,212.00,207.50,209.00,-5.50,"3,823"
17,105/01/27,"2,178,569","459,538,059",211.00,212.50,210.00,211.00,+2.00,"1,666"
18,105/01/28,"7,238,729","1,511,655,861",208.00,211.50,207.50,208.00,-3.00,"4,444"
19,105/01/29,"13,311,760","2,787,648,640",206.50,215.00,201.50,214.00,+6.00,"7,732"
20,105/01/30,"6,247,911","1,359,253,598",213.00,221.00,212.00,217.50,+3.50,"4,520"
21,105/02/01,"9,398,873","1,998,462,330",216.50,216.50,209.50,210.00,-7.50,"6,287"
22,105/02/02,"19,720,518","4,000,330,316",194.00,214.00,193.50,212.00,+2.00,"12,211"
23,105/02/03,"15,642,773","3,167,807,019",206.50,208.50,200.00,200.00,-12.00,"10,257"
24,105/02/15,"9,836,852","2,024,077,420",203.00,208.00,202.50,205.50,+5.50,"5,952"
25,105/02/16,"10,086,684","2,124,159,008",208.50,213.00,207.00,211.50,+6.00,"5,764"
26,105/02/17,"8,867,628","1,882,142,618",213.50,215.00,210.00,210.00,-1.50,"4,572"
27,105/02/18,"10,877,720","2,368,592,400",214.00,220.00,213.00,220.00,+10.00,"7,436"
28,105/02/19,"5,659,031","1,247,684,851",222.00,223.00,218.00,220.50,+0.50,"4,137"
29,105/02/22,"10,820,387","2,466,371,123",222.50,230.50,221.50,229.00,+8.50,"7,241"
30,105/02/23,"8,327,237","1,916,562,747",231.50,232.00,228.00,231.00,+2.00,"5,000"
31,105/02/24,"5,333,929","1,212,513,883",230.00,230.00,226.00,227.00,-4.00,"3,567"
32,105/02/25,"7,733,392","1,801,341,228",230.00,235.00,229.00,234.50,+7.50,"5,452"
33,105/02/26,"6,121,398","1,435,824,030",234.00,237.50,232.50,236.00,+1.50,"3,855"
34,105/03/01,"5,050,379","1,175,596,227",233.50,234.50,230.50,232.50,-3.50,"3,565"
35,105/03/02,"4,606,951","1,080,532,534",235.50,236.00,233.50,234.00,+1.50,"3,108"
36,105/03/03,"8,713,956","2,091,260,440",236.50,243.00,236.50,240.00,+6.00,"5,833"
37,105/03/04,"3,850,754","920,975,960",241.00,241.00,237.50,240.00, 0.00,"2,857"
38,105/03/07,"4,555,276","1,087,136,688",242.00,243.00,234.00,235.00,-5.00,"3,549"
39,105/03/08,"4,603,442","1,078,557,073",236.00,238.50,231.00,235.00, 0.00,"3,365"
40,105/03/09,"5,821,322","1,360,717,958",233.00,238.50,230.00,238.50,+3.50,"3,746"
41,105/03/10,"5,216,410","1,228,849,219",238.50,239.00,232.50,232.50,-6.00,"3,855"
42,105/03/11,"7,365,249","1,761,745,009",234.50,242.00,234.00,241.00,+8.50,"5,364"
43,105/03/14,"17,235,169","4,386,876,271",245.00,263.00,245.00,260.00,+19.00,"11,279"
